license_number,business_name,gp_rating,enrich_status,error_message
524112,PARADYME LLC,,,
524274,JOHNSON TANK TESTING AND MAINT,,,
524417,HOLMES MIKE CONSTRUCTION CO,,,
525500,ANICICH LANDSCAPE MANAGEMENT,,,
525665,J R E CONSTRUCTION INC,,,
525717,S R C BUILDERS,,,
526767,R B C CONSTRUCTION,,,
528107,GIANT POOL SERVICE,,,
528114,VINCE PARKER FLOORING,,,
528393,K M AND COMPANY PROFESSIONAL PAINTING,,,
528401,ASTLE R S PLUMBING,,,
528882,GARCIA MARK ASSOCIATES,,,
529123,CAL-DELTA PLUMBING INC,,,
529254,R B W ELEC,,,
529265,CHILELLI MICHAEL J GENERAL CONTRACTOR INC,,,
529667,FANMAN,,,
529705,DOWNING CONSTRUCTION,,,
529826,GOMES JOSEPH CRUZ,,,
529893,S N P ELECTRIC,,,
530298,WONG BING K,,,
530370,LUONG HENRY ENGINEERING CONTRACTOR,,,
530580,HORTON CAMILLE L CERTIFIED INTERIOR DESIGNER,,,
532023,APEXX ENTERPRISES,,,
532458,PLUMBING SERVICE COMPANY,,,
532580,ROSE LANDSCAPE,,,
532677,SKY LIMIT CONST,,,
532702,WALTHALL GORDON CARROLL,,,
534290,J C CONSTRUCTION,,,
534847,MADANI CONSTRUCTION INC,,,
534898,SPECTRUM PAINTING,,,
535085,FUHS R J CONSTRUCTION CO INC,,,
535193,PETERSON THOMAS L,,,
535571,MC GINNIS MIKE CONSTRUCTION,,,
535668,SHANNON MOTTES CONSTRUCTION,,,
535675,BIRD TODD E,,,
536338,STODDARD TILE COMPANY,,,
536453,CIMA'S LANDSCAPE & MAINTENANCE INC,,,
536538,WHELAN'S HEATING AND AIR CONDITIONING,,,
536892,STEVENS ASPHALT,,,
536909,TRI - QUEST BUILDERS & DEVELOPERS INC,,,
536985,INNOVATION IN HOUSING & TECHNOLOGY / I H T,,,
537017,SOUTHGATE GLASS & SCREEN INC,,,
537093,LONG ERIC A,,,
537315,HANDLE IT,,,
537569,KIRCHHOF R H CONSTRUCTION,,,
537696,SUNSET REMODELING INC,,,
537905,MARK SEEDING SERVICES INC,,,
538234,KIRBY'S PUMP & MECHANICAL INC,,,
538340,AGOSTINI J A DESIGN & DEVELOPMENT GROUP,,,
539004,CRESS PAINTING,,,
539553,MOORE DON CONSTRUCTION,,,
539595,PROCIDA LANDSCAPE INC,,,
540498,STUBBS JACK,,,
541041,FRAZIER CONSTRUCTION INC,,,
541108,HORIUCHI/PLENERT BUILDER'S GENERAL CONTRACTORS,,,
541415,QUALITY ELECTRIC LLC,,,
541518,WEISNER CLEMENS J,,,
541701,DAK LANDSCAPE CONSTRUCTION,,,
541815,MECHALS PAINTING,,,
542062,MANUFACTURED HOME SPECIALISTS THE,,,
542297,POOL-AIDE POOL SERVICE,,,
542371,R C P GENERAL CONTRACTORS INC,,,
542776,ATOM CONSTRUCTION,,,
542891,J & J LOCKSMITHS,,,
543003,JOY CONSTRUCTION,,,
543692,PYRAMID CONSTRUCTION,,,
543727,EDWARDS WADE B GENERAL CONTRACTOR,,,
543787,FORNESS CONSTRUCTION INC,,,
543969,HUBBELL LANDSCAPES INC,,,
544159,V E CONSTRUCTION,,,
544526,LARSON ORLAN,,,
544656,R J PAINTING,,,
551540,BRIGGS COMPANY THE,,,
555359,UNDERWOOD STEVE FLOOR COVERING,,,
556898,R V CONSTRUCTION,,,
559090,WEIDNER CA,,,
559260,A - 1 TOTAL AIR CARE,,,
560033,RCI PLUMBING,,,
560128,DOMINGUEZ LANDSCAPE SERVICES INC,,,
